City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.7,-53.46,44.13,93,15,4.52,few clouds
1,San Cristobal,VE,7.77,-72.22,66.11,93,99,3.38,overcast clouds
2,Vaini,TO,-21.2,-175.2,69.8,68,20,20.8,few clouds
3,Upernavik,GL,72.79,-56.15,33.66,80,0,10.27,clear sky
4,Tuktoyaktuk,CA,69.45,-133.04,41.0,86,75,14.99,broken clouds
5,Dongsheng,CN,39.82,109.98,75.31,24,0,16.35,clear sky
6,Laukaa,RU,58.74,29.85,58.77,82,96,6.55,overcast clouds
7,Creel,MX,27.75,-107.63,57.65,74,95,3.47,overcast clouds
8,Thompson,CA,55.74,-97.86,46.4,93,40,10.29,scattered clouds
9,Torbay,CA,47.67,-52.73,62.01,87,75,14.99,broken clouds
10,Shizilu,CN,35.17,118.83,80.67,63,6,9.06,clear sky
11,Angoche,MZ,-16.23,39.91,72.63,71,30,13.96,scattered clouds
12,Marawi,PH,8.0,124.29,86.0,81,97,7.0,overcast clouds
13,Mataura,NZ,-46.19,168.86,51.78,77,100,1.32,overcast clouds
14,Kavieng,PG,-2.57,150.8,84.88,68,99,3.74,overcast clouds
15,Khatanga,RU,71.97,102.5,43.54,78,100,14.9,light rain
16,Kjollefjord,NO,70.95,27.35,57.2,76,33,12.75,scattered clouds
17,Punta Arenas,CL,-53.15,-70.92,37.4,80,83,6.93,broken clouds
18,Thessalon,CA,46.25,-83.57,55.4,71,1,6.93,clear sky
19,Bredasdorp,ZA,-34.53,20.04,50.0,93,100,6.93,overcast clouds
20,New Norfolk,AU,-42.78,147.06,60.01,51,64,7.0,broken clouds
21,Yellowknife,CA,62.46,-114.35,45.0,69,5,4.7,clear sky
22,Ushuaia,AR,-54.8,-68.3,37.4,93,75,2.24,shower rain
23,Esperance,AU,-33.87,121.9,66.2,63,75,12.75,broken clouds
24,Vengerovo,RU,55.68,76.75,47.8,89,98,14.38,light rain
25,Ponta Do Sol,PT,32.67,-17.1,71.6,64,20,5.82,few clouds
26,Baft,IR,29.23,56.61,71.28,18,0,2.98,clear sky
27,Straumen,NO,63.87,11.3,55.4,76,75,14.99,shower rain
28,Nanortalik,GL,60.14,-45.24,47.52,88,100,18.07,moderate rain
29,Arraial Do Cabo,BR,-22.97,-42.03,70.38,84,0,14.47,clear sky
30,Holme,DK,56.11,10.17,59.0,93,15,8.05,few clouds
31,Hilo,US,19.73,-155.09,75.2,83,90,8.05,light rain
32,Coihaique,CL,-45.58,-72.07,35.6,82,87,4.7,overcast clouds
33,Saldanha,ZA,-33.01,17.94,57.2,93,100,3.36,overcast clouds
34,Hamilton,US,39.18,-84.53,75.2,78,90,9.17,overcast clouds
35,Nemuro,JP,43.32,145.57,71.6,94,75,9.17,light intensity drizzle
36,Rabo De Peixe,PT,37.8,-25.58,69.8,88,20,12.75,few clouds
37,Nantucket,US,41.28,-70.1,71.6,83,20,10.29,few clouds
38,Bethel,US,41.37,-73.41,69.01,100,90,2.66,mist
39,Lillooet,CA,50.69,-121.94,77.0,41,1,14.99,clear sky
40,Kulob,TJ,37.91,69.78,86.0,22,0,6.71,clear sky
41,Jamestown,US,42.1,-79.24,64.99,93,75,9.17,light rain
42,Hermanus,ZA,-34.42,19.23,48.0,94,100,8.43,overcast clouds
43,Beyneu,KZ,45.32,55.2,76.35,35,0,20.07,clear sky
44,Rikitea,PF,-23.12,-134.97,71.8,87,65,12.97,broken clouds
45,Atuona,PF,-9.8,-139.03,78.08,75,11,20.65,few clouds
46,Bubaque,GW,11.28,-15.83,79.41,81,100,11.25,overcast clouds
47,Tual,ID,-5.67,132.75,80.8,82,60,19.71,broken clouds
48,Geraldton,AU,-28.77,114.6,69.8,60,75,5.82,broken clouds
49,Belaya Gora,RU,68.53,146.42,54.39,42,0,8.84,clear sky
50,Saraza,PH,8.74,117.78,87.15,63,20,5.48,few clouds
51,Devonport,AU,-41.17,146.35,55.0,73,65,8.99,broken clouds
52,Danielskuil,ZA,-28.19,23.54,67.6,36,0,18.59,clear sky
53,Luderitz,NA,-26.65,15.16,54.41,75,0,2.55,clear sky
54,Qaanaaq,GL,77.48,-69.36,20.26,84,1,3.24,clear sky
55,Bluff,NZ,-46.6,168.33,51.46,89,100,8.72,overcast clouds
56,Savinka,RU,50.08,47.1,65.59,45,0,13.2,clear sky
57,Talaya,RU,61.38,152.75,49.46,61,92,3.47,overcast clouds
58,Bengkulu,ID,-3.8,102.27,83.05,79,57,9.22,broken clouds
59,Pevek,RU,69.7,170.31,35.6,87,50,11.95,scattered clouds
60,Mnogovershinnyy,RU,53.94,139.92,55.42,97,97,9.04,overcast clouds
61,Avarua,CK,-21.21,-159.78,77.0,94,91,10.29,overcast clouds
62,Russell,US,32.35,-85.2,75.2,94,1,3.27,clear sky
63,Talcahuano,CL,-36.72,-73.12,42.8,87,100,4.7,overcast clouds
64,Qeshm,IR,26.96,56.27,98.6,23,0,9.17,clear sky
65,Vila,PT,42.03,-8.16,57.99,84,0,1.01,clear sky
66,Port Pirie,AU,-33.18,138.02,73.4,27,40,13.87,scattered clouds
67,Ugoofaaru,MV,5.67,73.0,82.13,79,97,18.88,overcast clouds
68,Caravelas,BR,-17.71,-39.25,68.16,92,4,3.22,clear sky
69,Swan Hill,AU,-35.34,143.55,58.96,59,98,7.18,overcast clouds
70,Olafsvik,IS,64.89,-23.71,43.74,76,1,22.66,clear sky
71,Viedma,AR,-40.81,-63.0,41.0,89,82,4.0,broken clouds
72,Hithadhoo,MV,-0.6,73.08,82.22,76,31,14.67,scattered clouds
73,Georgetown,MY,5.41,100.34,84.2,70,20,8.05,few clouds
74,Cabo San Lucas,MX,22.89,-109.91,82.99,74,7,4.0,clear sky
75,Albany,US,42.6,-73.97,66.99,84,27,2.53,scattered clouds
76,Carnarvon,AU,-24.87,113.63,71.6,68,0,18.34,clear sky
77,Cape Town,ZA,-33.93,18.42,55.99,93,75,4.7,mist
78,Mahebourg,MU,-20.41,57.7,69.8,73,75,17.22,broken clouds
79,Tiksi,RU,71.69,128.87,50.34,64,30,3.96,scattered clouds
80,Rio Grande,BR,-32.03,-52.1,51.01,95,40,2.62,scattered clouds
81,Poum,NC,-20.23,164.02,71.26,66,4,17.67,clear sky
82,Tezu,IN,27.92,96.17,89.78,61,65,3.13,broken clouds
83,Kasama,ZM,-10.21,31.18,63.73,58,1,8.16,clear sky
84,Slave Lake,CA,55.28,-114.77,51.8,76,90,3.36,overcast clouds
85,Bathsheba,BB,13.22,-59.52,78.8,88,20,10.29,few clouds
86,Hobart,AU,-42.88,147.33,60.01,38,58,20.8,broken clouds
87,Kavaratti,IN,10.57,72.64,82.4,83,90,5.82,light rain
88,San Patricio,MX,19.22,-104.7,79.29,88,98,5.44,overcast clouds
89,Bonavista,CA,48.65,-53.11,60.64,90,72,15.03,broken clouds
90,Goksun,TR,38.02,36.5,78.8,36,0,4.7,clear sky
91,Barrow,US,71.29,-156.79,37.4,86,90,17.22,mist
92,Severo-Kurilsk,RU,50.68,156.12,52.66,79,90,13.67,overcast clouds
93,Trstena,SK,49.36,19.61,55.99,81,20,9.17,few clouds
94,Abha,SA,18.22,42.51,73.4,28,0,6.93,clear sky
95,Puerto Ayora,EC,-0.74,-90.35,66.0,91,91,4.0,overcast clouds
96,Dikson,RU,73.51,80.55,39.61,82,44,7.16,scattered clouds
97,Beringovskiy,RU,63.05,179.32,45.23,73,99,15.88,overcast clouds
98,Uozu,JP,36.8,137.4,78.8,94,75,3.36,thunderstorm with light rain
99,Svetlaya,RU,46.54,138.33,69.73,80,85,7.2,overcast clouds
100,Fort Nelson,CA,58.81,-122.7,50.0,93,75,2.24,broken clouds
101,Katsuura,JP,35.13,140.3,98.01,70,20,17.22,few clouds
102,Bandarbeyla,SO,9.49,50.81,84.22,50,70,24.47,broken clouds
103,Ulaangom,MN,49.98,92.07,70.09,37,100,8.05,overcast clouds
104,Cidreira,BR,-30.18,-50.21,56.28,87,92,5.91,overcast clouds
105,Chokurdakh,RU,70.63,147.92,47.53,53,23,11.23,few clouds
